Company Name,Job Type,Location,Job Link
Crossover,"Full Stack Engineer, Trilogy (Remote) - $100,000/year USD","Singapore, Singapore",https://sg.linkedin.com/jobs/view/head-of-ai-driven-software-development-trilogy-remote-%24400-000-year-usd-at-crossover-3801848850?refId=%2BpmCPFqeBRrxqPrWphKKsQ%3D%3D&trackingId=%2FbSM7gMLq%2BzVBc1srguSTQ%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card
ISC2,Outbound Engagement Advisor,Singapore,https://sg.linkedin.com/jobs/view/account-program-manager-at-cairn-advisory-pte-ltd-3800526728?refId=%2BpmCPFqeBRrxqPrWphKKsQ%3D%3D&trackingId=ADyfuOceT0dwhBY3rQrZnQ%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card
Crossover,"Head of AI-driven Software Development, Trilogy (Remote) - $400,000/year USD","Singapore, Singapore",https://sg.linkedin.com/jobs/view/senior-software-engineer-at-elastic-3803813537?refId=%2BpmCPFqeBRrxqPrWphKKsQ%3D%3D&trackingId=VNtDr20wCr%2F7K253xNeukw%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card
Cairn Advisory Pte Ltd,Account Program Manager,Singapore,https://sg.linkedin.com/jobs/view/senior-machine-learning-engineer-trilogy-remote-%24400-000-year-usd-at-crossover-3801846836?refId=%2BpmCPFqeBRrxqPrWphKKsQ%3D%3D&trackingId=og7uxX%2B9TPdm1rIxbXP5bA%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card
Elastic,Senior Software Engineer,Singapore,https://sg.linkedin.com/jobs/view/it-operation-devops-engineer-at-hiredchina-com-%E5%9B%BD%E9%99%85%E4%BA%BA%E6%89%8D%E6%8B%9B%E8%81%98%E7%BD%91-3800557518?refId=%2BpmCPFqeBRrxqPrWphKKsQ%3D%3D&trackingId=KUUkn43Ifi6GLcVf8dqCmg%3D%3D&position=16&pageNum=0&trk=public_jobs_jserp-result_search-card
Crossover,"Senior Machine Learning Engineer, Trilogy (Remote) - $400,000/year USD","Singapore, Singapore",https://sg.linkedin.com/jobs/view/binance-accelerator-program-affiliate-operations-at-binance-3804780032?refId=%2BpmCPFqeBRrxqPrWphKKsQ%3D%3D&trackingId=zyaX%2FoNP2UqwLAZyLCtOgg%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card
HiredChina.com 国际人才招聘网,IT Operation/DevOps Engineer,Singapore,https://sg.linkedin.com/jobs/view/binance-accelerator-program-trading-support-specialist-chinese-speaking-at-binance-3804780022?refId=%2BpmCPFqeBRrxqPrWphKKsQ%3D%3D&trackingId=xyl%2BCkZiAHsbnWSfTwc3ow%3D%3D&position=19&pageNum=0&trk=public_jobs_jserp-result_search-card
VELTISTON GROUP,#NAME?,"Singapore, Singapore",https://sg.linkedin.com/jobs/view/technical-product-owner-trilogy-remote-%24100-000-year-usd-at-crossover-3801852336?refId=%2BpmCPFqeBRrxqPrWphKKsQ%3D%3D&trackingId=vy4WvJ%2B3PkRSHo%2F%2BLO6hcg%3D%3D&position=20&pageNum=0&trk=public_jobs_jserp-result_search-card
Binance,Binance Accelerator Program - Affiliate Operations,"Singapore, Singapore",https://sg.linkedin.com/jobs/view/onboarding-backoffice-team-lead-at-deel-3805206281?refId=%2BpmCPFqeBRrxqPrWphKKsQ%3D%3D&trackingId=vg6Ca57Fc9Y1l4PER6SeGg%3D%3D&position=21&pageNum=0&trk=public_jobs_jserp-result_search-card
Binance,Binance Accelerator Program - Trading Support Specialist (Chinese speaking),"Singapore, Singapore",https://sg.linkedin.com/jobs/view/architect-snr-at-csg-3774731166?refId=%2BpmCPFqeBRrxqPrWphKKsQ%3D%3D&trackingId=Ys9pOhTwGd4uY4cwlac%2FCw%3D%3D&position=22&pageNum=0&trk=public_jobs_jserp-result_search-card
Crossover,"Technical Product Owner, Trilogy (Remote) - $100,000/year USD","Singapore, Singapore",https://sg.linkedin.com/jobs/view/vice-president-strategy-trilogy-remote-%24400-000-year-usd-at-crossover-3801845888?refId=%2BpmCPFqeBRrxqPrWphKKsQ%3D%3D&trackingId=ISXGB7oSsVxT26sB%2BXc5mQ%3D%3D&position=23&pageNum=0&trk=public_jobs_jserp-result_search-card
